2025-08-04 21:16:09.023 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for <empty> (Limits: [weapon_awp, 1], Quotas: [weapon_awp, 0.2])
2025-08-04 21:16:14.094 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: [weapon_awp, 0.2])
2025-08-04 21:31:05.854 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 21:31:06.071 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 21:37:01.073 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 21:40:49.628 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for <empty> (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 21:40:54.758 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 21:51:33.978 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for <empty> (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 21:51:39.492 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 22:11:09.888 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for <empty> (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 22:11:14.937 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 22:33:30.252 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for <empty> (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 22:33:35.297 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 23:06:02.984 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 23:06:03.441 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 23:06:03.648 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 23:06:03.877 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 23:06:04.078 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 23:06:04.311 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 23:06:04.533 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 23:06:04.772 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 23:06:05.032 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 23:06:05.239 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 23:06:05.443 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 23:06:05.642 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 23:06:05.842 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 23:06:06.057 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 23:06:06.261 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 23:06:06.471 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 23:06:26.822 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 23:06:06.918 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 23:06:07.122 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 23:06:07.337 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 23:06:07.546 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 23:06:07.761 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 23:06:07.966 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 23:06:08.187 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 23:06:08.395 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 23:06:08.609 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 23:06:08.818 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 23:06:09.037 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 23:06:09.237 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 23:06:29.582 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 23:06:09.665 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 23:06:09.881 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 23:06:10.084 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 23:06:10.296 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 23:06:10.500 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 23:06:10.715 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 23:06:10.920 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 23:06:11.136 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 23:06:11.342 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 23:06:11.555 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 23:06:31.895 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 23:06:11.990 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 23:06:12.193 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 23:06:12.406 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 23:06:12.618 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 23:06:12.831 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 23:06:13.034 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
2025-08-04 23:06:13.249 +00:00 [INFO] plugin:WeaponRestrict Loaded default config for de_mirage_rain (Limits: [weapon_awp, 1], Quotas: )
